new_cluster_id,coordinates
139,"[[[-85.4487, 0.7059], [-85.4487, 9.6691], [-80.5906, 9.6691], [-80.5906, 0.7059], [-85.4487, 0.7059]]]"
140,"[[[-162.5468, 58.339], [-162.5468, 64.3127], [-154.2716, 64.3127], [-154.2716, 58.339], [-162.5468, 58.339]]]"
141,"[[[160.7657, 52.4275], [160.7657, 58.0932], [168.3834, 58.0932], [168.3834, 52.4275], [160.7657, 52.4275]]]"
142,"[[[123.142, 7.0341], [123.142, 10.6532], [128.2351, 10.6532], [128.2351, 7.0341], [123.142, 7.0341]]]"
143,"[[[127.8929, 27.3869], [127.8929, 34.0568], [133.4007, 34.0568], [133.4007, 27.3869], [127.8929, 27.3869]]]"
144,"[[[-96.2329, -39.2904], [-96.2329, -36.7269], [-91.4478, -36.7269], [-91.4478, -39.2904], [-96.2329, -39.2904]]]"
145,"[[[91.4476, 12.5345], [91.4476, 17.7099], [96.4846, 17.7099], [96.4846, 12.5345], [91.4476, 12.5345]]]"
146,"[[[124.3128, 22.9973], [124.3128, 28.7312], [130.4585, 28.7312], [130.4585, 22.9973], [124.3128, 22.9973]]]"
147,"[[[139.1715, 35.0708], [139.1715, 39.3053], [144.9439, 39.3053], [144.9439, 35.0708], [139.1715, 35.0708]]]"
148,"[[[-74.0431, -31.5538], [-74.0431, -28.2164], [-69.6682, -28.2164], [-69.6682, -31.5538], [-74.0431, -31.5538]]]"
149,"[[[21.8652, 36.8978], [21.8652, 42.2322], [26.9768, 42.2322], [26.9768, 36.8978], [21.8652, 36.8978]]]"
150,"[[[-75.4578, -41.9124], [-75.4578, -34.4852], [-70.3526, -34.4852], [-70.3526, -41.9124], [-75.4578, -41.9124]]]"
151,"[[[99.0782, 28.2195], [99.0782, 33.7644], [105.5099, 33.7644], [105.5099, 28.2195], [99.0782, 28.2195]]]"
152,"[[[87.5451, 35.2589], [87.5451, 39.6906], [95.8598, 39.6906], [95.8598, 35.2589], [87.5451, 35.2589]]]"
153,"[[[-170.5203, 50.9921], [-170.5203, 55.6841], [-162.989, 55.6841], [-162.989, 50.9921], [-170.5203, 50.9921]]]"
154,"[[[164.917, -21.4735], [164.917, -16.7435], [171.0978, -16.7435], [171.0978, -21.4735], [164.917, -21.4735]]]"
155,"[[[-112.8252, -36.6871], [-112.8252, -33.0003], [-107.0579, -33.0003], [-107.0579, -36.6871], [-112.8252, -36.6871]]]"
156,"[[[-107.6527, 16.9227], [-107.6527, 20.6762], [-101.7714, 20.6762], [-101.7714, 16.9227], [-107.6527, 16.9227]]]"
157,"[[[88.6924, 3.2614], [88.6924, 8.5816], [96.0106, 8.5816], [96.0106, 3.2614], [88.6924, 3.2614]]]"
158,"[[[-78.0806, 16.5221], [-78.0806, 20.2054], [-70.3234, 20.2054], [-70.3234, 16.5221], [-78.0806, 16.5221]]]"
159,"[[[102.0695, 22.9193], [102.0695, 29.9325], [107.4149, 29.9325], [107.4149, 22.9193], [102.0695, 22.9193]]]"
160,"[[[131.9605, -7.2438], [131.9605, 1.832], [137.3549, 1.832], [137.3549, -7.2438], [131.9605, -7.2438]]]"
161,"[[[167.7106, -24.1843], [167.7106, -19.6247], [174.9094, -19.6247], [174.9094, -24.1843], [167.7106, -24.1843]]]"
162,"[[[137.6999, 32.4572], [137.6999, 36.8408], [143.079, 36.8408], [143.079, 32.4572], [137.6999, 32.4572]]]"
163,"[[[-158.4063, 53.2478], [-158.4063, 60.5429], [-152.4109, 60.5429], [-152.4109, 53.2478], [-158.4063, 53.2478]]]"
